movie_id,country
/m/03vyhn,United States of America
/m/08yl5d,United States of America
/m/0crgdbh,Norway
/m/0285_cd,United Kingdom
/m/01mrr1,Germany
/m/03cfc81,United States of America
/m/04jcqvw,South Africa
/m/02qc0j7,United States of America
/m/06_y2j7,Argentina
/m/075f66,United Kingdom
/m/017n1p,United States of America
/m/07kjkz6,Japan
/m/0gffwj,United States of America
/m/016ywb,United Kingdom
/m/04cqrs4,Turkey
/m/02r52hc,United States of America
/m/0g5qvzg,
/m/0kcn7,United States of America
/m/0gyryjt,German Democratic Republic
/m/0gj30jx,United States of America
/m/017n1b,United States of America
/m/02wjqm,United States of America
/m/05p45cv,United States of America
/m/0h964n1,Germany
/m/0g4_n3m,Soviet Union
/m/047t9rb,United States of America
/m/05pckh0,France
/m/05pckh0,Italy
/m/0523t_1,India
/m/05f5_5y,New Zealand
/m/014k4y,United States of America
/m/02rc_h4,India
/m/02pml15,India
/m/0gjd9q4,German Democratic Republic
/m/04j284s,United States of America
/m/04j284s,United Kingdom
/m/0gg5xnj,Mexico
/m/04j0lfk,India
/m/04wy0v,United States of America
/m/0fq260_,India
/m/0b6c_nw,Australia
/m/0b6c_nw,New Zealand
/m/0bh9fbk,India
/m/06_y54s,Argentina
/m/02pjlrp,United States of America
/m/0gyv1h1,
/m/0f400r,Hong Kong
/m/02q74ng,United States of America
/m/0734w5,United States of America
/m/07h9zj,United States of America
/m/0b6kc_5,United States of America
/m/0b6kc_5,Netherlands
/m/03cfwy4,United States of America
/m/01mrrd,South Africa
/m/05c4bry,
/m/03grb4v,United States of America
/m/03c_x01,United States of America
/m/02vlsqt,Mexico
/m/02vlsqt,United States of America
/m/0cws46,United States of America
/m/05b0lk8,India
/m/03c0d85,Hong Kong
/m/02rm6l8,Turkey
/m/05f6kpj,Germany
/m/05f6kpj,Denmark
/m/05f6kpj,Sweden
/m/05f6kpj,Norway
/m/06_vg9f,Argentina
/m/0f0d1p,United States of America
/m/02vn81r,United States of America
/m/0kv1zq,United States of America
/m/09rzk6,Italy
/m/0dll97s,
/m/04x8zs,United States of America
/m/05bzp6g,Australia
/m/05bzp6g,United Kingdom
/m/05bzp6g,New Zealand
/m/04m_wkg,Denmark
/m/0gjd9qv,German Democratic Republic
/m/02w1jsk,United States of America
/m/07s63_7,Canada
/m/0g4zl4c,United States of America
/m/04zyc0t,United States of America
/m/0fdc85,India
/m/0gh7n22,
/m/07v6f3,United States of America
/m/05p89qm,Italy
/m/04mhwd,Canada
/m/05b6cft,Brazil
/m/02r8pmz,India
/m/080bxrj,India
/m/0by1_ff,France
/m/0by1_ff,Switzerland
/m/0gj93w4,Germany
/m/01p0lg,Netherlands
/m/03ymtlq,United States of America
/m/0kv612,United States of America
/m/0crvlhb,Mexico
/m/02vlbrf,India
/m/0h10pz,United States of America
/m/0gh8wn7,
/m/0gy0wck,
/m/04q6md9,United States of America
/m/04j1nd9,United States of America
/m/0dyy_v,United States of America
/m/0bm9993,United States of America
/m/061l7z,Italy
/m/0crx1wl,United States of America
/m/0gj8s31,German Democratic Republic
/m/0fc8w8,United States of America
/m/0fc8w8,Canada
/m/0fc8w8,United Kingdom
/m/02x4zpv,United States of America
/m/0gh6n43,India
/m/04j0jtp,United States of America
/m/04j0jtp,United Kingdom
/m/0bvx7h,India
/m/0fp_syp,
/m/04mnqv6,Poland
/m/04mnqv6,Germany
/m/04cx2r5,United States of America
/m/0286_1d,Spain
/m/0286_1d,Argentina
/m/0286_1d,Brazil
/m/0djbd6g,Canada
/m/07k8x7p,Japan
/m/0cm89jx,
/m/027d9tv,United States of America
/m/02qcf9g,India
/m/06qv1c,United States of America
/m/0cnxjzx,United States of America
/m/0479c20,Hong Kong
/m/0h54gth,United States of America
/m/09yd9c,United States of America
/m/07vz8r,United Kingdom
/m/047m_z2,United States of America
/m/0b4f1s,South Korea
/m/0crj1f3,France
/m/0crj1f3,Australia
/m/0286kkz,United States of America
/m/015wmg,United States of America
/m/0dgrk23,Hungary
/m/07sb8_t,South Korea
/m/0kv7ps,United States of America
/m/026ccts,United States of America
/m/09gnwkp,United States of America
/m/05fb20v,United States of America
/m/02qq3mb,India
/m/09pgd14,United States of America
/m/015wmt,United States of America
/m/064kyn2,United States of America
/m/0gynvg5,United Kingdom
/m/0bd62lc,Spain
/m/05j038,United Kingdom
/m/05j038,Netherlands
/m/0kvbmd,United States of America
/m/02rpz18,United States of America
/m/05p3428,France
/m/05p3428,Italy
/m/02qkn7c,India
/m/09kzfd,United States of America
/m/043j2x,India
/m/05v5ws,United States of America
/m/0kv80y,United States of America
/m/04yc5nd,West Germany
/m/05p0zkv,United States of America
/m/04jfr7g,United States of America
/m/0bhbzbr,India
/m/08_f1r,Germany
/m/04y7q1b,
/m/03cbvzw,United States of America
/m/04rjwf,United States of America
/m/09v6_q1,United Kingdom
/m/02w5vj3,Pakistan
/m/0gy0rwv,
/m/0h95z9x,Germany
/m/0gm34c,United States of America
/m/02vr6k0,United States of America
/m/0jwy73v,Hungary
/m/03d57tv,United States of America
/m/0h541q3,
/m/02z3p78,United States of America
/m/0h9562r,Japan
/m/027_08f,Argentina
/m/03_wh5,France
/m/03_wh5,Yugoslavia
/m/03_wh5,Germany
/m/06_y54c,Argentina
/m/0br_wmf,France
/m/03cbkd2,United States of America
/m/0g1yx5,United States of America
/m/04f1_g9,United States of America
/m/047q7xf,Japan
/m/04jkr54,United Kingdom
/m/06zrc_8,Italy
/m/018qbn,United States of America
/m/0g08ws,United States of America
/m/01bwgr,United States of America
/m/01bwgr,United Kingdom
/m/0h_92lt,France
/m/0h_92lt,Spain
/m/0h_92lt,Italy
/m/04dld6,Italy
/m/04dld6,Algeria
/m/0bh97tj,India
/m/09vnx57,United States of America
/m/0j3h2kb,Nepal
/m/09hngs,United States of America
/m/07jwzw,United States of America
/m/04n2zzq,Japan
/m/02x6tkq,United States of America
/m/02z63mv,United States of America
/m/02z63mv,Kenya
/m/0bf0hf,United Kingdom
/m/0cz9fjr,United States of America
/m/02w41jc,India
/m/0g5sf9m,
/m/0b6dn1z,South Africa
/m/0b6dn1z,Canada
/m/0b6dn1z,England
/m/06wbrsg,United States of America
/m/03nrw6d,
/m/0h3wy16,Australia
/m/0h_9kln,Finland
/m/0g9wcrn,
/m/03wggk7,United States of America
/m/03813g,South Korea
/m/03813g,Germany
/m/0k0hkgm,India
/m/0hndjzb,
/m/0g9z2v0,
/m/09vv2_n,United States of America
/m/01xlqd,United States of America
/m/0c037x9,United States of America
/m/05q6jgk,France
/m/05q6jgk,England
/m/05q6jgk,United Kingdom
/m/08xfy_,France
/m/08xfy_,Italy
/m/08xfy_,West Germany
/m/0917bx,United States of America
/m/05pchb8,Mexico
/m/0120g4,Australia
/m/03h4h5p,France
/m/0gtvj4d,India
/m/076w7md,United Kingdom
/m/02rp4qv,Canada
/m/02rp4qv,United Kingdom
/m/0gjd7dp,United Kingdom
/m/07385y,Mexico
/m/0g19zh,United States of America
/m/0270xln,United States of America
/m/0b24ld,Spain
/m/0dlm9db,United States of America
/m/094x3b,United States of America
/m/04yfw36,South Korea
/m/04j0c3_,France
/m/08m1s2,Ireland
/m/08m1s2,United Kingdom
/m/05dpjl,United States of America
/m/05dpjl,Canada
/m/05dpjl,United Kingdom
/m/05dpjl,Germany
/m/03c0sm7,United States of America
/m/02w8t1b,Canada
/m/0d_ng1,United States of America
/m/0gp9cs,India
/m/0g59khw,
/m/0g5qgd2,Germany
/m/0b4bp1l,United States of America
/m/01lqzr,United States of America
/m/0gyvxfl,West Germany
/m/0p_sc,United States of America
/m/0p_sc,United Kingdom
/m/05mr7x1,Hungary
/m/07k7p1q,Soviet Union
/m/0gfrkw7,United States of America
/m/0ggbmh0,Mexico
/m/067p6m,United States of America
/m/027rvrw,China
/m/04f57qz,Austria
/m/0dbfgz,United States of America
/m/0djfnq,Philippines
/m/0gp9cf,
/m/06sg2t,France
/m/0b447t7,United States of America
/m/0jsc_,United States of America
/m/04zw7qc,India
/m/0ds6j9_,United States of America
/m/0cz8rml,West Germany
/m/0bb_l75,United States of America
/m/0gj6pd,United States of America
/m/0gj6pd,Hong Kong
/m/0gj6pd,China
/m/03c_p7d,United States of America
/m/05zp19b,United States of America
/m/0523g9d,United States of America
/m/0g2q1q,United States of America
/m/05mvk68,United Kingdom
/m/04mzmq8,United States of America
/m/04mzmq8,United Kingdom
/m/0dlm0sz,Turkey
/m/03h15dp,United States of America
/m/0fp_576,United States of America
/m/01_mdl,United States of America
/m/01_mdl,United Kingdom
/m/0g5rqxx,Turkey
/m/0882lf,South Africa
/m/05f9k7r,Denmark
/m/04gjk6_,India
/m/03qmssn,Spain
/m/0hnbsyf,
/m/04j1_9j,United Kingdom
/m/03cfpw2,United States of America
/m/0cnx37f,United Kingdom
/m/0kvfd1,United Kingdom
/m/0gw_sxm,
/m/0cnxf8t,United States of America
/m/0gh6h9x,India
/m/043qtrq,United States of America
/m/047sc75,United States of America
/m/064n1xv,United Kingdom
/m/047t_lv,United States of America
/m/03cn6hr,United States of America
/m/02qmrx5,United States of America
/m/02qmrx5,Australia
/m/0c3lr0,United States of America
/m/0g6kwp,India
/m/0g6kwp,Soviet Union
/m/025cm9,France
/m/03h0ghv,United States of America
/m/0j3c4kr,Germany
/m/0cgs9r4,West Germany
/m/0bghc4,United States of America
/m/05k3q8,Canada
/m/09v460,United States of America
/m/0jwwwz2,
/m/02qy2q7,West Germany
/m/0b777gn,United States of America
/m/04zyk2s,Denmark
/m/04zyk2s,Sweden
/m/04j2242,United States of America
/m/04j2242,Italy
/m/027r3dp,
/m/0d_2j2,United States of America
/m/07kbmgf,United States of America
/m/0ds11z,United States of America
/m/0ds11z,United Kingdom
/m/03d76w1,India
/m/0j9n5v7,South Korea
/m/07s81gr,
/m/03gw63h,United States of America
/m/0b_zwy4,United States of America
/m/0b_zwy4,Australia
/m/05znvsh,Netherlands
/m/016z5x,France
/m/016z5x,United States of America
/m/016z5x,Italy
/m/016z5x,United Kingdom
/m/07rf_1,United States of America
/m/05m_4m6,India
/m/0bh9t6p,United States of America
/m/0f_17k,Romania
/m/07m7j8,United States of America
/m/0b6kpmq,United States of America
/m/06_y8td,Argentina
/m/0b6yhq2,United States of America
/m/051yg_8,India
/m/03gr8yf,United States of America
/m/0h_f28l,Slovakia
/m/0h_f28l,Czech Republic
/m/0b74vn,Italy
/m/04j35n6,United States of America
/m/09v8jfd,France
/m/09v8jfd,Italy
/m/0gp4pz,United States of America
/m/0gp4pz,United Kingdom
/m/07s7_c0,United States of America
/m/09rfs9q,United States of America
/m/03gxj7d,United States of America
/m/03gxj7d,Australia
/m/03gxj7d,New Zealand
/m/0k0dxfx,France
/m/0k0dxfx,Italy
/m/0k0dxfx,West Germany
/m/05nkn9,Sweden
/m/02w8rhv,South Korea
/m/05b5q_n,India
/m/0ds9z09,
/m/07p15p,Japan
/m/01jtxq,
/m/03h08vb,United States of America
/m/0dlm629,
/m/0h1fzpv,
/m/0b_lj9b,Denmark
/m/0b_lj9b,Sweden
/m/0b_lj9b,Norway
/m/0ft_c9,Mexico
/m/0jt0qkp,
/m/02w1_pf,United States of America
/m/03mhfqj,India
/m/07kg7s3,United States of America
/m/02r553z,India
/m/0crtb7j,India
/m/03cn0rs,France
/m/03cn0rs,Portugal
/m/0b4y0r,United States of America
/m/04ybcks,South Korea
/m/04ybcks,Sweden
/m/0j272x6,United States of America
/m/0j272x6,United Kingdom
/m/0401sg,United States of America
/m/0401sg,France
/m/0401sg,Canada
/m/0401sg,United Kingdom
/m/0401sg,Germany
/m/05c4c72,United States of America
/m/027xtwf,United States of America
/m/027xtwf,Japan
/m/0bhgphj,Germany
/m/0gg6hp6,Mexico
/m/0gxncj8,United States of America
/m/0gh8bdp,
/m/0gysbv4,United States of America
/m/09k695y,
/m/02w9pbl,Hong Kong
/m/0463ncn,United States of America
/m/01dh6f,United States of America
/m/0f3s6h,Canada
/m/0bbr0sm,United States of America
/m/02639tg,United States of America
/m/0c41tt3,India
/m/061nbd,United States of America
/m/04j1p15,
/m/03hmbm9,South Korea
/m/02x5kcd,United States of America
/m/04j0kr8,India
/m/0kv17w,United States of America
/m/03cg8fj,United States of America
/m/09gkn8b,United States of America
/m/0db2z1,United States of America
/m/0czkzx,India
/m/05zp8vw,Japan
/m/06hp9q,United States of America
/m/0j42hrc,Sweden
/m/03m9z58,France
/m/04ldc1b,United Kingdom
/m/027yjkd,Egypt
/m/02rz0fs,Italy
/m/04z2kf,
/m/07s4ql2,United States of America
/m/051yy2f,United Kingdom
/m/0kv7sv,France
/m/0bj5037,United States of America
/m/03d7wmt,United Kingdom
/m/0b8rp_,Czechoslovakia
/m/0b8rp_,Czech Republic
/m/01j5x_,Japan
/m/0h1gj9k,
/m/027b5c1,China
/m/08p40j7,United States of America
/m/02pk0wv,United Kingdom
/m/0gkss5y,South Korea
/m/05zkfkf,United States of America
/m/04m0gv,Poland
/m/04gnwd2,
/m/02pvqww,France
/m/02pvqww,Spain
/m/0j9n8zq,India
/m/0ds31zh,Norway
/m/0gf8mz8,Spain
/m/04zy_f7,Ireland
/m/04zy_f7,United Kingdom
/m/0crf0rp,United Kingdom
/m/0g9yq64,United Kingdom
/m/0cnxmjr,Philippines
/m/06_yd1q,Argentina
/m/0g9ycs0,
/m/05246np,United Kingdom
/m/03m3zmd,United States of America
/m/0j_7d9h,India
/m/0gvvs3k,
/m/03cnkmw,Brazil
/m/06s6m_,India
/m/03ctywl,United States of America
/m/0cn2s5,United States of America
/m/04j2ft8,India
/m/0bfzz0,India
/m/0kvbsw,United States of America
/m/0kvbsw,Canada
/m/03wc5v0,Northern Ireland
/m/03wc5v0,Nepal
/m/03wc5v0,Ireland
/m/07s7rx2,India
/m/03ymxmv,
/m/04lgqkp,United States of America
/m/09k7nps,
/m/07ts2f,France
/m/07ts2f,Israel
/m/07s90cc,France
/m/02w28mv,United States of America
/m/09k6mnp,Philippines
/m/0djywn8,Austria
/m/03nx6f8,India
/m/0k992wk,Germany
/m/0dgqlc1,United States of America
/m/03yc76n,United States of America
/m/0kv9kh,India
/m/0fk60h,United States of America
/m/0c4fjm,United States of America
/m/0c4fjm,Ireland
/m/0c4fjm,United Kingdom
/m/0hgqnx6,
/m/04zy_fy,United States of America
/m/03gzskn,United States of America
/m/0b42bk,United States of America
/m/0kv1zb,United States of America
/m/02q9jx_,United States of America
/m/066j_j,United States of America
/m/0dk_zf,United States of America
/m/06lnkr,United Kingdom
/m/05sy5dr,United Kingdom
/m/05zlkcx,Canada
/m/01ncbn6,United States of America
/m/02rnyyt,United States of America
/m/06_yd16,Argentina
/m/0286qw2,United States of America
/m/05zkfk2,United States of America
/m/027b_lp,Australia
/m/027b_lp,New Zealand
/m/0gg4rcr,Iceland
/m/026b79y,United States of America
/m/05mrgyy,United States of America
/m/02vpjr8,United States of America
/m/03hq88,United States of America
/m/03hq88,United Kingdom
/m/09vv2_y,United States of America
/m/03nqf7n,India
/m/080k_tj,
/m/027nccj,United States of America
/m/0crc6ns,Norway
/m/04y6hf1,India
/m/0k47y,United States of America
/m/0kvbs2,United States of America
/m/0ddd6gs,Poland
/m/07kbj2s,United States of America
/m/0617_4,United States of America
/m/096rnf,Italy
/m/04j2ftt,United States of America
/m/02rdpgp,United States of America
/m/0cvh_c,United States of America
/m/052172r,United States of America
/m/052172r,India
/m/052172r,United Kingdom
/m/02qjr0p,India
/m/09v9ywt,South Korea
/m/04k12v,United States of America
/m/04k12v,Germany
/m/02w2ywg,Indonesia
/m/05f9pzw,India
/m/05222wb,India
/m/04zz4c7,United States of America
/m/04m_q2v,Italy
/m/026jvpd,United States of America
/m/0drz263,
/m/0j_324m,India
/m/0bmhglz,India
/m/05zmwh6,Netherlands
/m/02vnj6h,United States of America
/m/0g5sly2,United States of America
/m/0kv7pd,United States of America
/m/09fgyt,United States of America
/m/095kx7,Spain
/m/06zjwmh,Italy
/m/03cp9pv,United States of America
/m/0d_csz,United States of America
/m/03qhx0c,Spain
/m/03qhx0c,Italy
/m/0524s71,United States of America
/m/04jdmpy,China
/m/0bmbq75,United Kingdom
/m/0hzp0wh,France
/m/0hzp0wh,Belgium
/m/09dl0l,Japan
/m/0c1p3,United States of America
/m/05b4ncx,Japan
/m/027z39j,United States of America
/m/04993j,United States of America
/m/03npxc,Hong Kong
